timestamp,vibr_1_X,vibr_1_Y,vibr_1_Z,vibr_1_noise,vibr_2_X,vibr_2_Y,vibr_2_Z,vibr_2_noise,oil_temp,cool_temp,oil_pressure,total_rms_vibr,total_rms_noise
23-07-2024 20:10,43.48480988,53.86584473,52.08505249,96.69277191,8.217473868,8.766052951,15.62874719,102.745018,34.26,46,10.36990596,28.45968192,100.0806354
23-07-2024 21:10,43.48480988,53.86584473,52.08505249,99.7723999,8.258640064,8.809980638,15.70710526,100.0771484,34.26,44.75,10.36990596,28.27234034,101.0233732
23-07-2024 22:10,40.88494938,48.10078804,47.64176168,96.27569822,8.941619873,8.599434853,15.05953121,103.5787811,34.28,46.5,10.30721003,13.24958877,87.80106595
23-07-2024 23:10,45.27373886,52.5364418,50.78025055,97.804245,8.941619873,8.599434853,15.05953121,101.0856171,34.28,46,10.36990596,28.23226214,100.5930847
24-07-2024 00:10,41.99919128,51.59989548,49.00776291,96.42250824,8.941619873,8.599434853,15.05953121,102.6074142,34.28,45.5,10.24451411,27.85897866,100.9824572
24-07-2024 01:10,41.99919128,51.59989548,49.00776291,94.04718018,8.941619873,8.599434853,15.05953121,102.6605148,34.31,47.25,10.30721003,27.79720442,99.66891229
24-07-2024 02:10,43.94493484,50.95006943,49.51530075,98.55057526,8.941619873,8.599434853,15.05953121,102.1273804,34.31,47,10.11912226,27.89662285,100.508819
24-07-2024 03:10,43.94493484,50.95006943,49.51530075,99.59846497,8.898882866,9.082942009,16.70630836,100.9081268,34.33,46,10.11912226,28.07647754,100.4597684
24-07-2024 04:10,43.22933578,52.64760971,53.69916916,98.26309967,8.898882866,9.082942009,16.70630836,103.5610504,34.33,47.25,10.11912226,28.80134019,100.1910267
24-07-2024 05:10,43.22933578,52.64760971,53.69916916,98.12325287,8.898882866,9.082942009,16.70630836,103.3604126,34.36,48,10.05642633,28.72976698,100.4960128
24-07-2024 06:10,45.00243378,53.90082932,50.57973862,98.35636139,8.898882866,9.082942009,16.70630836,101.3080902,34.38,47.5,10.05642633,27.18980827,87.25419563
24-07-2024 07:10,45.95254135,55.27647018,51.41405106,98.82004547,9.156774521,9.360238075,14.39968491,103.0528259,34.38,48.25,10.05642633,29.15715035,101.6782914
24-07-2024 08:10,45.95254135,55.27647018,51.41405106,97.26036835,9.156774521,9.360238075,14.39968491,102.9019012,34.41,47.25,10,29.13592382,101.1677405
24-07-2024 09:10,43.24667358,50.50283432,51.30067444,95.86336517,9.156774521,9.360238075,14.39968491,103.2301178,34.43,46.75,10.05642633,28.07301628,100.8242376
24-07-2024 10:10,43.24667358,50.50283432,51.30067444,98.61884308,9.156774521,9.360238075,14.39968491,103.795578,34.43,49.25,10,28.09206984,101.573714
24-07-2024 11:10,42.82028198,50.5803833,51.05091476,98.04387665,9.156774521,9.360238075,14.39968491,100.9859543,34.46,49,10.05642633,27.91152799,98.87670702
24-07-2024 12:10,42.82028198,50.5803833,51.05091476,98.77374268,9.077126503,9.722973824,14.62298489,97.85408783,34.46,49.5,10,27.99266849,100.8096226
